Date,Open,High,Low,Close,pair
2020-10-14,1.29375,1.30644,1.28641,1.30126,GBPUSD
2020-10-15,1.30125,1.30299,1.2891,1.29049,GBPUSD
2020-10-16,1.29049,1.29616,1.2863,1.29273,GBPUSD
2020-10-19,1.29084,1.30246,1.29034,1.29426,GBPUSD
2020-10-20,1.29426,1.29788,1.29115,1.29441,GBPUSD
2020-10-21,1.29434,1.31769,1.29433,1.31449,GBPUSD
2020-10-22,1.31448,1.31522,1.30706,1.3082,GBPUSD
2020-10-23,1.3082,1.31217,1.30194,1.3046,GBPUSD
2020-10-26,1.30427,1.30743,1.29934,1.30162,GBPUSD
2020-10-27,1.30163,1.30797,1.30013,1.30271,GBPUSD
2020-10-28,1.30272,1.30631,1.29169,1.29865,GBPUSD
2020-10-29,1.2987,1.30252,1.28814,1.29277,GBPUSD
2020-10-30,1.29277,1.29881,1.28993,1.29509,GBPUSD
2020-11-02,1.29329,1.29429,1.28554,1.29144,GBPUSD
2020-11-03,1.29141,1.30787,1.29136,1.30732,GBPUSD
2020-11-04,1.30731,1.31398,1.29148,1.29411,GBPUSD
2020-11-05,1.29429,1.31578,1.2939,1.31429,GBPUSD
2020-11-06,1.31432,1.31772,1.30936,1.31521,GBPUSD
2020-11-09,1.3164,1.32079,1.31189,1.31599,GBPUSD
2020-11-10,1.31603,1.32778,1.31564,1.32705,GBPUSD
2020-11-11,1.32692,1.32998,1.31919,1.32227,GBPUSD
2020-11-12,1.32227,1.32282,1.31067,1.31185,GBPUSD
2020-11-13,1.31185,1.31963,1.31095,1.31963,GBPUSD
2020-11-16,1.31905,1.32423,1.31658,1.31953,GBPUSD
2020-11-17,1.31953,1.32723,1.31934,1.3264,GBPUSD
2020-11-18,1.32642,1.33118,1.32438,1.32676,GBPUSD
2020-11-19,1.32679,1.32793,1.31972,1.32536,GBPUSD
2020-11-20,1.32537,1.32965,1.32472,1.32913,GBPUSD
2020-11-23,1.32966,1.33977,1.32647,1.33229,GBPUSD
2020-11-24,1.33228,1.33801,1.32937,1.33587,GBPUSD
2020-11-25,1.33588,1.33935,1.3305,1.33815,GBPUSD
2020-11-26,1.33816,1.33978,1.33222,1.33569,GBPUSD
2020-11-27,1.33569,1.33813,1.32934,1.32964,GBPUSD
2020-11-30,1.3326,1.33819,1.33054,1.33291,GBPUSD
2020-12-01,1.33292,1.34399,1.33157,1.34268,GBPUSD
2020-12-02,1.34268,1.3441,1.32877,1.3372,GBPUSD
2020-12-03,1.33724,1.34999,1.33534,1.34517,GBPUSD
2020-12-04,1.34517,1.35391,1.34139,1.34349,GBPUSD
2020-12-07,1.3419,1.34367,1.32249,1.33719,GBPUSD
2020-12-08,1.33719,1.33903,1.32902,1.33605,GBPUSD
2020-12-09,1.33605,1.34778,1.3324,1.3361,GBPUSD
2020-12-10,1.33608,1.33895,1.32463,1.33015,GBPUSD
2020-12-11,1.33014,1.33243,1.31352,1.32245,GBPUSD
2020-12-14,1.33298,1.34446,1.32904,1.33297,GBPUSD
2020-12-15,1.33299,1.34693,1.32805,1.34513,GBPUSD
2020-12-16,1.34522,1.35535,1.34347,1.35029,GBPUSD
2020-12-17,1.35029,1.36243,1.34958,1.35858,GBPUSD
2020-12-18,1.35859,1.35865,1.34725,1.34991,GBPUSD
2020-12-21,1.34314,1.34969,1.31897,1.34513,GBPUSD
2020-12-22,1.34506,1.34697,1.33044,1.33621,GBPUSD
2020-12-23,1.33621,1.35688,1.33621,1.35003,GBPUSD
2020-12-24,1.35035,1.36194,1.3497,1.35283,GBPUSD
2020-12-28,1.35502,1.35758,1.34298,1.34526,GBPUSD
2020-12-29,1.34529,1.35228,1.34507,1.35023,GBPUSD
2020-12-30,1.35023,1.36257,1.34938,1.36177,GBPUSD
2020-12-31,1.36157,1.36859,1.36045,1.36721,GBPUSD
2021-01-04,1.36636,1.37028,1.35421,1.35761,GBPUSD
2021-01-05,1.35755,1.36414,1.35543,1.36226,GBPUSD
2021-01-06,1.36233,1.36704,1.35404,1.36106,GBPUSD
2021-01-07,1.36105,1.36332,1.35334,1.35643,GBPUSD
2021-01-08,1.35645,1.36352,1.35392,1.35593,GBPUSD
2021-01-11,1.35591,1.35628,1.34524,1.35096,GBPUSD
2021-01-12,1.35097,1.36697,1.35048,1.36635,GBPUSD
2021-01-13,1.36642,1.37,1.36119,1.36412,GBPUSD
2021-01-14,1.36391,1.37083,1.36168,1.36881,GBPUSD
2021-01-15,1.36883,1.36981,1.35724,1.3584,GBPUSD
2021-01-18,1.3587,1.35985,1.35205,1.35833,GBPUSD
2021-01-19,1.3584,1.36366,1.35784,1.36336,GBPUSD
2021-01-20,1.36336,1.37177,1.36235,1.36545,GBPUSD
2021-01-21,1.36545,1.37461,1.36541,1.37321,GBPUSD
2021-01-22,1.37323,1.3736,1.36365,1.36798,GBPUSD
2021-01-25,1.36787,1.37232,1.36492,1.36745,GBPUSD
2021-01-26,1.36746,1.37443,1.36102,1.37348,GBPUSD
2021-01-27,1.3735,1.37588,1.36594,1.36929,GBPUSD
2021-01-28,1.36929,1.37459,1.36302,1.3728,GBPUSD
2021-01-29,1.37278,1.37515,1.36574,1.3702,GBPUSD
2021-02-01,1.37045,1.37577,1.36564,1.36666,GBPUSD
2021-02-02,1.3667,1.37104,1.36113,1.36635,GBPUSD
2021-02-03,1.36639,1.36834,1.36195,1.36453,GBPUSD
2021-02-04,1.3646,1.36976,1.35668,1.36678,GBPUSD
2021-02-05,1.36678,1.37401,1.36664,1.37378,GBPUSD
2021-02-08,1.37297,1.37493,1.36808,1.37397,GBPUSD
2021-02-09,1.37407,1.38198,1.37379,1.38145,GBPUSD
2021-02-10,1.38145,1.38659,1.38028,1.3831,GBPUSD
2021-02-11,1.38305,1.38592,1.38015,1.38171,GBPUSD
2021-02-12,1.38171,1.38626,1.3776,1.38502,GBPUSD
2021-02-15,1.38592,1.3919,1.38579,1.39095,GBPUSD
2021-02-16,1.39094,1.39516,1.38694,1.39036,GBPUSD
2021-02-17,1.39034,1.39058,1.38296,1.38611,GBPUSD
2021-02-18,1.38611,1.39853,1.38399,1.39741,GBPUSD
2021-02-19,1.39741,1.40356,1.39516,1.40074,GBPUSD
2021-02-22,1.40151,1.40859,1.39806,1.40707,GBPUSD
2021-02-23,1.40664,1.41169,1.40543,1.41135,GBPUSD
2021-02-24,1.41134,1.42348,1.40823,1.4142,GBPUSD
2021-02-25,1.4142,1.41818,1.40005,1.4012,GBPUSD
2021-02-26,1.40115,1.4026,1.38882,1.39308,GBPUSD
2021-03-01,1.39393,1.39991,1.39043,1.39279,GBPUSD
2021-03-02,1.3928,1.3977,1.38592,1.39548,GBPUSD
2021-03-03,1.39548,1.40063,1.39212,1.39502,GBPUSD
2021-03-04,1.39503,1.40166,1.38805,1.38968,GBPUSD
2021-03-05,1.38968,1.39067,1.37791,1.38464,GBPUSD
2021-03-08,1.3842,1.38655,1.38003,1.3817,GBPUSD
2021-03-09,1.38188,1.39251,1.3802,1.38926,GBPUSD
2021-03-10,1.38905,1.39382,1.38462,1.39341,GBPUSD
2021-03-11,1.3934,1.39945,1.3919,1.39874,GBPUSD
2021-03-12,1.39874,1.4005,1.38636,1.39293,GBPUSD
2021-03-15,1.39243,1.39496,1.38537,1.38962,GBPUSD
2021-03-16,1.38963,1.39052,1.38095,1.38991,GBPUSD
2021-03-17,1.38991,1.39753,1.3851,1.39633,GBPUSD
2021-03-18,1.39628,1.40014,1.38976,1.39242,GBPUSD
2021-03-19,1.39242,1.39593,1.38307,1.38649,GBPUSD
2021-03-22,1.3839,1.38766,1.38179,1.38622,GBPUSD
2021-03-23,1.38622,1.38643,1.37409,1.37479,GBPUSD
2021-03-24,1.37476,1.37481,1.36744,1.36806,GBPUSD
2021-03-25,1.36804,1.37455,1.36704,1.37408,GBPUSD
2021-03-26,1.37396,1.38119,1.37383,1.37966,GBPUSD
2021-03-29,1.37889,1.38469,1.37567,1.37621,GBPUSD
2021-03-30,1.3763,1.37835,1.37065,1.37385,GBPUSD
2021-03-31,1.37386,1.38107,1.37166,1.37826,GBPUSD
2021-04-01,1.3783,1.38362,1.37467,1.38311,GBPUSD
2021-04-05,1.38229,1.39137,1.38136,1.39084,GBPUSD
2021-04-06,1.39087,1.39188,1.38027,1.38242,GBPUSD
2021-04-07,1.38229,1.384,1.37247,1.3739,GBPUSD
2021-04-08,1.3739,1.37825,1.3719,1.37346,GBPUSD
2021-04-09,1.37348,1.37507,1.36706,1.37092,GBPUSD
2021-04-12,1.37048,1.37765,1.36693,1.37433,GBPUSD
2021-04-13,1.37433,1.3769,1.36944,1.37512,GBPUSD
2021-04-14,1.37509,1.38088,1.375,1.37795,GBPUSD
2021-04-15,1.37794,1.38089,1.3762,1.3785,GBPUSD
2021-04-16,1.3785,1.3839,1.37174,1.38363,GBPUSD
2021-04-19,1.38296,1.39925,1.381,1.39834,GBPUSD
2021-04-20,1.39835,1.40088,1.39262,1.39372,GBPUSD
2021-04-21,1.39372,1.39497,1.38863,1.39317,GBPUSD
2021-04-22,1.39313,1.39495,1.38239,1.38407,GBPUSD
2021-04-23,1.38407,1.38954,1.3835,1.38855,GBPUSD
2021-04-26,1.3876,1.39292,1.38647,1.38992,GBPUSD
2021-04-27,1.38978,1.39239,1.38587,1.39071,GBPUSD
2021-04-28,1.39071,1.39504,1.38617,1.39376,GBPUSD
2021-04-29,1.39375,1.39766,1.39321,1.39443,GBPUSD
2021-04-30,1.39443,1.39584,1.38027,1.38136,GBPUSD
2021-05-03,1.38161,1.39314,1.38037,1.3911,GBPUSD
2021-05-04,1.3911,1.39129,1.38384,1.38864,GBPUSD
2021-05-05,1.38864,1.39262,1.38763,1.39071,GBPUSD
2021-05-06,1.39071,1.39406,1.38588,1.38893,GBPUSD
2021-05-07,1.38904,1.40056,1.38889,1.40015,GBPUSD
2021-05-10,1.40004,1.41578,1.39999,1.41211,GBPUSD
2021-05-11,1.41211,1.41658,1.41044,1.41431,GBPUSD
2021-05-12,1.41431,1.41527,1.40504,1.40581,GBPUSD
2021-05-13,1.40577,1.40782,1.40062,1.40498,GBPUSD
2021-05-14,1.40499,1.41106,1.40361,1.4098,GBPUSD
2021-05-17,1.40984,1.41467,1.40776,1.41379,GBPUSD
2021-05-18,1.41378,1.42198,1.41367,1.41863,GBPUSD
2021-05-19,1.41861,1.42008,1.41005,1.41153,GBPUSD
2021-05-20,1.41153,1.41925,1.41022,1.41909,GBPUSD
2021-05-21,1.41905,1.42335,1.41407,1.41549,GBPUSD
2021-05-24,1.41571,1.41717,1.41116,1.4156,GBPUSD
2021-05-25,1.4156,1.4211,1.41164,1.41489,GBPUSD
2021-05-26,1.4149,1.41761,1.41124,1.41208,GBPUSD
2021-05-27,1.4121,1.42192,1.40916,1.42015,GBPUSD
2021-05-28,1.42019,1.42083,1.41372,1.41915,GBPUSD
2021-05-31,1.41923,1.42176,1.41643,1.42089,GBPUSD
2021-06-01,1.42089,1.42494,1.41474,1.41503,GBPUSD
2021-06-02,1.41498,1.41833,1.41123,1.41718,GBPUSD
2021-06-03,1.41719,1.42029,1.40874,1.41033,GBPUSD
2021-06-04,1.41033,1.42004,1.40836,1.41656,GBPUSD
2021-06-07,1.41602,1.41896,1.41115,1.4181,GBPUSD
2021-06-08,1.4181,1.41846,1.4121,1.41498,GBPUSD
2021-06-09,1.41498,1.41887,1.411,1.41145,GBPUSD
2021-06-10,1.41161,1.41785,1.40737,1.41759,GBPUSD
2021-06-11,1.41758,1.41854,1.40955,1.41154,GBPUSD
2021-06-14,1.41136,1.41239,1.40712,1.41104,GBPUSD
2021-06-15,1.41097,1.41283,1.40347,1.40847,GBPUSD
2021-06-16,1.40847,1.41326,1.39826,1.39873,GBPUSD
2021-06-17,1.39874,1.40088,1.38958,1.39237,GBPUSD
2021-06-18,1.39231,1.39444,1.37947,1.38118,GBPUSD
2021-06-21,1.37989,1.3937,1.37865,1.39369,GBPUSD
2021-06-22,1.39369,1.39635,1.38611,1.39466,GBPUSD
2021-06-23,1.39471,1.40009,1.3924,1.3963,GBPUSD
2021-06-24,1.3964,1.39867,1.389,1.39207,GBPUSD
2021-06-25,1.39227,1.39356,1.38717,1.38912,GBPUSD
2021-06-28,1.38853,1.39396,1.38711,1.38813,GBPUSD
2021-06-29,1.38814,1.38822,1.38146,1.38403,GBPUSD
2021-06-30,1.38404,1.3873,1.37986,1.38306,GBPUSD
2021-07-01,1.38306,1.38339,1.3753,1.37634,GBPUSD
2021-07-02,1.37629,1.38443,1.3733,1.38347,GBPUSD
2021-07-05,1.38309,1.38621,1.38181,1.385,GBPUSD
2021-07-06,1.38501,1.3898,1.37732,1.38006,GBPUSD
2021-07-07,1.38006,1.38418,1.37545,1.38009,GBPUSD
2021-07-08,1.38011,1.38052,1.37419,1.37851,GBPUSD
2021-07-09,1.37839,1.3893,1.37576,1.38928,GBPUSD
2021-07-12,1.38897,1.39098,1.38393,1.38878,GBPUSD
2021-07-13,1.38878,1.39052,1.3801,1.38168,GBPUSD
2021-07-14,1.38167,1.38917,1.38015,1.38606,GBPUSD
2021-07-15,1.38609,1.38985,1.38051,1.38257,GBPUSD
2021-07-16,1.38259,1.3862,1.3761,1.37615,GBPUSD
2021-07-19,1.37672,1.37679,1.3655,1.36756,GBPUSD
2021-07-20,1.36756,1.36894,1.35722,1.36278,GBPUSD
2021-07-21,1.36278,1.37229,1.35915,1.37144,GBPUSD
2021-07-22,1.37144,1.3787,1.36908,1.37621,GBPUSD
2021-07-23,1.37624,1.37802,1.37203,1.375,GBPUSD
2021-07-26,1.37553,1.38334,1.37373,1.38269,GBPUSD
2021-07-27,1.38237,1.3894,1.37669,1.38838,GBPUSD
2021-07-28,1.38835,1.39108,1.3845,1.39063,GBPUSD
2021-07-29,1.39056,1.39821,1.38981,1.39618,GBPUSD
2021-07-30,1.39618,1.39833,1.38883,1.38981,GBPUSD
2021-08-02,1.38963,1.39327,1.38761,1.38839,GBPUSD
2021-08-03,1.38843,1.39386,1.38831,1.39141,GBPUSD
2021-08-04,1.39139,1.39578,1.38861,1.38872,GBPUSD
2021-08-05,1.38872,1.39488,1.38726,1.39292,GBPUSD
2021-08-06,1.39291,1.39329,1.3861,1.38767,GBPUSD
2021-08-09,1.38816,1.38945,1.38414,1.38527,GBPUSD
2021-08-10,1.38492,1.38726,1.38279,1.38408,GBPUSD
2021-08-11,1.38411,1.38879,1.38037,1.38705,GBPUSD
2021-08-12,1.38679,1.38787,1.37954,1.3812,GBPUSD
2021-08-13,1.3812,1.3875,1.3792,1.38696,GBPUSD
2021-08-16,1.38672,1.38771,1.38282,1.3841,GBPUSD
2021-08-17,1.38412,1.38454,1.37267,1.37393,GBPUSD
2021-08-18,1.37404,1.37836,1.3732,1.3754,GBPUSD
2021-08-19,1.37543,1.37582,1.36315,1.36358,GBPUSD
2021-08-20,1.36359,1.3641,1.36022,1.36248,GBPUSD
2021-08-23,1.36182,1.37321,1.36164,1.37233,GBPUSD
2021-08-24,1.37234,1.37472,1.36941,1.37323,GBPUSD
2021-08-25,1.37323,1.37669,1.36969,1.37598,GBPUSD
2021-08-26,1.37597,1.3768,1.36896,1.37009,GBPUSD
2021-08-27,1.37009,1.37801,1.36804,1.3763,GBPUSD
2021-08-30,1.37527,1.37753,1.37339,1.37564,GBPUSD
2021-08-31,1.37554,1.3807,1.37428,1.37574,GBPUSD
2021-09-01,1.37578,1.37979,1.37312,1.37708,GBPUSD
2021-09-02,1.37707,1.38399,1.37674,1.38362,GBPUSD
2021-09-03,1.38363,1.38916,1.3818,1.38635,GBPUSD
2021-09-06,1.38604,1.38686,1.3819,1.38387,GBPUSD
2021-09-07,1.38388,1.38568,1.37682,1.37867,GBPUSD
2021-09-08,1.3787,1.37906,1.37268,1.37738,GBPUSD
2021-09-09,1.37739,1.38631,1.37536,1.38381,GBPUSD
2021-09-10,1.3838,1.38887,1.3831,1.3831,GBPUSD
2021-09-13,1.38375,1.3851,1.37973,1.38387,GBPUSD
2021-09-14,1.38387,1.39131,1.38037,1.38097,GBPUSD
2021-09-15,1.38097,1.38541,1.37928,1.38431,GBPUSD
2021-09-16,1.38435,1.38528,1.37646,1.37956,GBPUSD
2021-09-17,1.37952,1.3813,1.37352,1.37359,GBPUSD
2021-09-20,1.37396,1.3743,1.36408,1.36592,GBPUSD
2021-09-21,1.36593,1.36934,1.36413,1.36612,GBPUSD
2021-09-22,1.36611,1.36894,1.36096,1.36202,GBPUSD
2021-09-23,1.36202,1.37508,1.36121,1.37221,GBPUSD
2021-09-24,1.37202,1.37364,1.36583,1.36718,GBPUSD
2021-09-27,1.36664,1.37287,1.36582,1.3703,GBPUSD
2021-09-28,1.3703,1.37176,1.3521,1.35387,GBPUSD
2021-09-29,1.35386,1.35548,1.3412,1.34259,GBPUSD
2021-09-30,1.3426,1.35174,1.34161,1.34729,GBPUSD
2021-10-01,1.34729,1.35758,1.34339,1.35517,GBPUSD
2021-10-04,1.35456,1.36397,1.35326,1.36098,GBPUSD
2021-10-05,1.36102,1.36475,1.35852,1.36253,GBPUSD
2021-10-06,1.3626,1.36315,1.35443,1.35843,GBPUSD
2021-10-07,1.35843,1.36376,1.35708,1.36159,GBPUSD
2021-10-08,1.36145,1.36567,1.35837,1.36199,GBPUSD
2021-10-11,1.36215,1.36738,1.35848,1.35961,GBPUSD
2021-10-12,1.35966,1.36372,1.3569,1.35883,GBPUSD
2021-10-13,1.35885,1.3665,1.35761,1.36603,GBPUSD
2021-10-14,1.36605,1.37346,1.36585,1.36749,GBPUSD
2021-10-15,1.36748,1.37732,1.3668,1.37432,GBPUSD
2021-10-18,1.37567,1.37655,1.37096,1.37284,GBPUSD
2021-10-19,1.37287,1.38331,1.37283,1.37934,GBPUSD
2021-10-20,1.37932,1.38344,1.37425,1.38269,GBPUSD
2021-10-21,1.38264,1.38332,1.37765,1.37941,GBPUSD
2021-10-22,1.37959,1.38147,1.37366,1.37612,GBPUSD
2021-10-25,1.3751,1.37917,1.37422,1.37685,GBPUSD
2021-10-26,1.37682,1.38295,1.37571,1.37658,GBPUSD
2021-10-27,1.37653,1.3781,1.37099,1.37411,GBPUSD
2021-10-28,1.37415,1.38147,1.37224,1.37955,GBPUSD
2021-10-29,1.37958,1.38041,1.36688,1.36851,GBPUSD
2021-11-01,1.36856,1.36932,1.36423,1.36602,GBPUSD
2021-11-02,1.36601,1.36678,1.36062,1.36153,GBPUSD
2021-11-03,1.36157,1.36946,1.36082,1.36914,GBPUSD
2021-11-04,1.36907,1.36979,1.34715,1.35043,GBPUSD
2021-11-05,1.35043,1.35089,1.34248,1.34981,GBPUSD
2021-11-08,1.34901,1.35795,1.34506,1.35635,GBPUSD
2021-11-09,1.3563,1.36048,1.35244,1.35583,GBPUSD
2021-11-10,1.3559,1.35651,1.34017,1.34082,GBPUSD
2021-11-11,1.34067,1.34334,1.3359,1.33659,GBPUSD
2021-11-12,1.33658,1.34263,1.33535,1.34216,GBPUSD
2021-11-15,1.34163,1.34493,1.34035,1.34112,GBPUSD
2021-11-16,1.34109,1.34727,1.34054,1.3427,GBPUSD
2021-11-17,1.34262,1.34964,1.33966,1.34919,GBPUSD
2021-11-18,1.34924,1.35135,1.3464,1.35005,GBPUSD
2021-11-19,1.35003,1.35097,1.34082,1.34431,GBPUSD
2021-11-22,1.34443,1.34498,1.33851,1.33962,GBPUSD
2021-11-23,1.33954,1.34087,1.33427,1.3377,GBPUSD
2021-11-24,1.3377,1.33894,1.33163,1.33279,GBPUSD
2021-11-25,1.33278,1.33535,1.33057,1.3321,GBPUSD
2021-11-26,1.33211,1.33616,1.32789,1.33541,GBPUSD
2021-11-29,1.3334,1.33631,1.32877,1.33091,GBPUSD
2021-11-30,1.33097,1.33703,1.31953,1.32974,GBPUSD
2021-12-01,1.32974,1.33517,1.32625,1.32757,GBPUSD
2021-12-02,1.32756,1.33337,1.32718,1.33028,GBPUSD
2021-12-03,1.33019,1.33105,1.32089,1.324,GBPUSD
2021-12-06,1.3246,1.32858,1.32227,1.32603,GBPUSD
2021-12-07,1.32603,1.32893,1.32094,1.32431,GBPUSD
2021-12-08,1.32419,1.32613,1.31681,1.32057,GBPUSD
2021-12-09,1.32058,1.32243,1.3173,1.32205,GBPUSD
2021-12-10,1.32207,1.32755,1.31876,1.32696,GBPUSD
2021-12-13,1.32575,1.32687,1.32074,1.32151,GBPUSD
2021-12-14,1.32149,1.32565,1.31913,1.32291,GBPUSD
2021-12-15,1.32288,1.32827,1.3173,1.32643,GBPUSD
2021-12-16,1.32637,1.33745,1.32414,1.33247,GBPUSD
2021-12-17,1.33239,1.33394,1.32356,1.32356,GBPUSD
2021-12-20,1.32369,1.32448,1.31737,1.32078,GBPUSD
2021-12-21,1.32079,1.3271,1.31984,1.32678,GBPUSD
2021-12-22,1.3267,1.3363,1.32406,1.33516,GBPUSD
2021-12-23,1.33519,1.34374,1.33428,1.341,GBPUSD
2021-12-24,1.341,1.34215,1.33881,1.33991,GBPUSD
2021-12-27,1.33928,1.34449,1.33927,1.34411,GBPUSD
2021-12-28,1.34408,1.34618,1.3416,1.34365,GBPUSD
2021-12-29,1.34368,1.34991,1.34092,1.34867,GBPUSD
2021-12-30,1.34867,1.35219,1.34546,1.35008,GBPUSD
2021-12-31,1.35008,1.35502,1.34657,1.3524,GBPUSD
2022-01-03,1.35319,1.35346,1.34311,1.34746,GBPUSD
2022-01-04,1.34748,1.35575,1.34599,1.35268,GBPUSD
2022-01-05,1.35268,1.35982,1.35228,1.35545,GBPUSD
2022-01-06,1.35534,1.3559,1.34906,1.35343,GBPUSD
2022-01-07,1.35342,1.3597,1.35284,1.3595,GBPUSD
2022-01-10,1.35804,1.36038,1.35328,1.35781,GBPUSD
2022-01-11,1.35788,1.36365,1.35618,1.36329,GBPUSD
2022-01-12,1.36323,1.37132,1.36211,1.37061,GBPUSD
2022-01-13,1.37059,1.37487,1.3701,1.37108,GBPUSD
2022-01-14,1.37109,1.37426,1.36537,1.36796,GBPUSD
2022-01-17,1.36765,1.36899,1.36376,1.36465,GBPUSD
2022-01-18,1.36466,1.36616,1.35734,1.35997,GBPUSD
2022-01-19,1.35998,1.36486,1.35883,1.36123,GBPUSD
2022-01-20,1.36124,1.36618,1.35872,1.36002,GBPUSD
2022-01-21,1.35994,1.36023,1.35459,1.35535,GBPUSD
2022-01-24,1.3553,1.35656,1.34406,1.34873,GBPUSD
2022-01-25,1.34878,1.35186,1.34369,1.35064,GBPUSD
2022-01-26,1.35066,1.35244,1.34455,1.34632,GBPUSD
2022-01-27,1.34634,1.3468,1.33586,1.33814,GBPUSD
2022-01-28,1.33815,1.34324,1.33654,1.33972,GBPUSD
2022-01-31,1.33986,1.34605,1.33877,1.34445,GBPUSD
2022-02-01,1.34442,1.35281,1.34348,1.35243,GBPUSD
2022-02-02,1.35236,1.35866,1.35167,1.35761,GBPUSD
2022-02-03,1.35758,1.36278,1.35383,1.36014,GBPUSD
2022-02-04,1.36012,1.36149,1.35054,1.35311,GBPUSD
2022-02-07,1.35331,1.35509,1.34908,1.35331,GBPUSD
2022-02-08,1.3532,1.35639,1.35082,1.35469,GBPUSD
2022-02-09,1.35477,1.3589,1.35269,1.35352,GBPUSD
2022-02-10,1.35355,1.36437,1.35241,1.3561,GBPUSD
2022-02-11,1.35618,1.3609,1.35142,1.35517,GBPUSD
2022-02-14,1.35589,1.35721,1.34953,1.35327,GBPUSD
2022-02-15,1.35312,1.3567,1.34867,1.35419,GBPUSD
2022-02-16,1.3542,1.36009,1.35387,1.35832,GBPUSD
2022-02-17,1.35813,1.36376,1.35566,1.36159,GBPUSD
2022-02-18,1.36156,1.36424,1.35736,1.35971,GBPUSD
2022-02-21,1.35943,1.36386,1.35862,1.35949,GBPUSD
2022-02-22,1.35959,1.36046,1.35389,1.3587,GBPUSD
2022-02-23,1.35862,1.36207,1.35362,1.35452,GBPUSD
2022-02-24,1.35448,1.35495,1.32734,1.33785,GBPUSD
2022-02-25,1.33783,1.34386,1.33666,1.34119,GBPUSD
2022-02-28,1.33423,1.34319,1.33359,1.34212,GBPUSD
2022-03-01,1.34221,1.34372,1.33026,1.33264,GBPUSD
2022-03-02,1.33263,1.34071,1.32723,1.34041,GBPUSD
2022-03-03,1.34043,1.34176,1.33176,1.3346,GBPUSD
2022-03-04,1.33456,1.33506,1.32033,1.32495,GBPUSD
2022-03-07,1.3234,1.32485,1.31026,1.31071,GBPUSD
2022-03-08,1.31067,1.31433,1.30824,1.30994,GBPUSD
2022-03-09,1.30979,1.31894,1.30882,1.31845,GBPUSD
2022-03-10,1.31854,1.31943,1.30818,1.30854,GBPUSD
2022-03-11,1.30853,1.31251,1.30278,1.30353,GBPUSD
2022-03-14,1.30401,1.30788,1.30011,1.30072,GBPUSD
2022-03-15,1.30078,1.30882,1.30007,1.3043,GBPUSD
2022-03-16,1.30434,1.31563,1.30361,1.31308,GBPUSD
2022-03-17,1.31311,1.3211,1.30885,1.31509,GBPUSD
2022-03-18,1.31509,1.31971,1.3111,1.31771,GBPUSD
2022-03-21,1.31703,1.32097,1.31272,1.31679,GBPUSD
2022-03-22,1.31679,1.32737,1.31203,1.32707,GBPUSD
2022-03-23,1.32694,1.32985,1.31759,1.31974,GBPUSD
2022-03-24,1.31992,1.32142,1.31572,1.31913,GBPUSD
2022-03-25,1.31915,1.3225,1.316,1.31818,GBPUSD
2022-03-28,1.31845,1.31879,1.30675,1.30951,GBPUSD
2022-03-29,1.30957,1.31597,1.30516,1.30977,GBPUSD
2022-03-30,1.30972,1.31826,1.30893,1.31352,GBPUSD
2022-03-31,1.31352,1.31733,1.31074,1.31385,GBPUSD
2022-04-01,1.3138,1.31519,1.30864,1.31136,GBPUSD
2022-04-04,1.31087,1.31371,1.30935,1.31164,GBPUSD
2022-04-05,1.31175,1.31668,1.3067,1.30744,GBPUSD
2022-04-06,1.30745,1.31082,1.30455,1.30675,GBPUSD
2022-04-07,1.30669,1.31065,1.30521,1.30757,GBPUSD
2022-04-08,1.30761,1.30773,1.29831,1.30338,GBPUSD
2022-04-11,1.30308,1.30564,1.29896,1.30307,GBPUSD
2022-04-12,1.30308,1.3054,1.2995,1.30034,GBPUSD
2022-04-13,1.30034,1.31182,1.29737,1.3117,GBPUSD
2022-04-14,1.31167,1.31472,1.30343,1.30751,GBPUSD
2022-04-18,1.30579,1.30648,1.3005,1.30118,GBPUSD
2022-04-19,1.30102,1.30406,1.29814,1.29997,GBPUSD
2022-04-20,1.29994,1.30703,1.29968,1.30639,GBPUSD
2022-04-21,1.30635,1.30903,1.30234,1.30335,GBPUSD
2022-04-22,1.3034,1.30355,1.28231,1.28276,GBPUSD
2022-04-25,1.28383,1.28405,1.26977,1.2744,GBPUSD
2022-04-26,1.27443,1.27725,1.25715,1.25733,GBPUSD
2022-04-27,1.25737,1.26015,1.25026,1.25413,GBPUSD
2022-04-28,1.2542,1.25694,1.24119,1.24596,GBPUSD
2022-04-29,1.24597,1.26143,1.24544,1.25758,GBPUSD
2022-05-02,1.2581,1.25976,1.24734,1.24894,GBPUSD
2022-05-03,1.24899,1.25669,1.24708,1.24975,GBPUSD
2022-05-04,1.24975,1.26383,1.24521,1.26339,GBPUSD
2022-05-05,1.26338,1.26343,1.23255,1.23585,GBPUSD
2022-05-06,1.23585,1.23803,1.22767,1.23427,GBPUSD
2022-05-09,1.23454,1.24061,1.22614,1.233,GBPUSD
2022-05-10,1.23302,1.23749,1.22927,1.23163,GBPUSD
2022-05-11,1.23168,1.23995,1.2238,1.22505,GBPUSD
2022-05-12,1.22511,1.22532,1.21671,1.21975,GBPUSD
2022-05-13,1.21973,1.22488,1.21562,1.22423,GBPUSD
2022-05-16,1.22474,1.23296,1.22178,1.2322,GBPUSD
2022-05-17,1.23227,1.24988,1.23195,1.24918,GBPUSD
